agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,-0.004762388122573527,0.06677813069492003,0,0.9865899692435177,990948.3306376161,wf_2018_2019,0.10634895112998699,True,7,-0.07148677311454876,2018-01-01/2019-12-31,XLF,10000,2009-01-01/2017-12-31,-0.0072329031188978375,0.05
ppo_standalone,-0.007271889759272549,0.016955817305766063,0,0.9820826709282799,986194.3578118582,wf_2018_2019,0.029677689490919645,True,19,-0.43043578328947946,2018-01-01/2019-12-31,XLF,10000,2009-01-01/2017-12-31,0.0,0.014583333333333334
ppo_with_uncertainty_guard,0.0456996063677942,0.13927804015054573,0,0.9975738557225786,1088843.8654345572,wf_2018_2019,0.19619165944117178,True,19,0.3208408892940965,2018-01-01/2019-12-31,XLF,10000,2009-01-01/2017-12-31,-0.016670006872350117,0.05
ppo_standalone,-0.00918192466214496,0.02866064829949622,0,0.9779809462319399,982583.2870457923,wf_2018_2019,0.047844637246338695,True,42,-0.3218450319254935,2018-01-01/2019-12-31,XLF,10000,2009-01-01/2017-12-31,0.0,0.020833333333333332
ppo_with_uncertainty_guard,0.05045352121478184,0.16746555551246295,0,0.9974067898878525,1098291.9306245022,wf_2018_2019,0.2232529773112495,True,42,0.2939228253459474,2018-01-01/2019-12-31,XLF,10000,2009-01-01/2017-12-31,-0.020039101030575334,0.05
ppo_standalone,-0.0027679467072082835,0.010754716559235577,0,0.9787012679598052,994712.4406956991,wf_2020_2021,0.021758743408238468,True,7,-0.2577235418240508,2020-01-01/2021-12-31,XLF,10000,2009-01-01/2019-12-31,0.0,0.026970954356846474
ppo_with_uncertainty_guard,0.059652952036989,0.16845245113821436,0,0.9805638116949263,1117198.8446389325,wf_2020_2021,0.23574979817214392,True,7,0.34396291525031053,2020-01-01/2021-12-31,XLF,10000,2009-01-01/2019-12-31,-0.015938868931723603,0.05186721991701245
ppo_standalone,0.0068786187723320616,0.006101163366437038,0,0.9995322182578372,1013198.0145969606,wf_2020_2021,0.0012240490826511685,True,19,1.1235382889968604,2020-01-01/2021-12-31,XLF,10000,2009-01-01/2019-12-31,0.0,0.01037344398340249
ppo_with_uncertainty_guard,0.1153434611363469,0.17119344559273064,0,0.9729807717726155,1232192.0509105169,wf_2020_2021,0.22320367016806197,True,19,0.6376546296474827,2020-01-01/2021-12-31,XLF,10000,2009-01-01/2019-12-31,-0.01636120698844028,0.05186721991701245
ppo_standalone,-0.0015117432202344534,0.011411103319087844,0,0.9778006099080472,997110.4860323238,wf_2020_2021,0.022344111680113854,True,42,-0.13257841669451367,2020-01-01/2021-12-31,XLF,10000,2009-01-01/2019-12-31,0.0,0.026970954356846474
