date,baseline_value,prob_value,uncertainty_aleatoric,uncertainty_epistemic
2022-12-27,997943.0162297995,865698.0694055571,0.47380823,0.3771774
2022-12-28,997943.0162297995,855001.1180811222,0.45937347,0.49569187
2022-12-29,997943.0162297995,870301.5889415992,0.48396334,0.21640256
2022-12-30,997943.0162297995,868022.3338015147,0.4289807,0.36310095
2023-01-03,997943.0162297995,864389.1176305991,0.4031577,0.61763614
2023-01-04,997943.0162297995,871022.4443893355,0.39285755,0.31627572
2023-01-05,997943.0162297995,861139.9911377945,0.35296246,0.45401296
2023-01-06,997943.0162297995,880776.4618440607,0.36993602,0.39733
2023-01-09,997943.0162297995,880279.9812074046,0.29696432,0.38482365
2023-01-10,997943.0162297995,886420.6943171117,0.2682399,0.624843
2023-01-11,997943.0162297995,897569.4631459861,0.22529829,0.5588693
2023-01-12,997943.0162297995,900820.415863985,0.16915506,0.44862473
2023-01-13,997943.0162297995,904298.3533394976,0.13651364,0.42692533
2023-01-17,997943.0162297995,902648.4260172958,0.113882266,0.4644743
2023-01-18,997943.0162297995,888452.3756125433,0.118597135,0.45533338
2023-01-19,997943.0162297995,882011.7950442069,0.18881243,0.7569923
2023-01-20,997943.0162297995,898375.371828445,0.2593904,0.58806634
2023-01-23,997943.0162297995,909108.1038140473,0.24430284,0.14345503
2023-01-24,997943.0162297995,908136.3233755606,0.2086149,0.5039074
2023-01-25,997943.0162297995,908474.7918007482,0.19468789,0.51224494
2023-01-26,997943.0162297995,918415.7916418987,0.19265687,0.18970218
2023-01-27,997943.0162297995,920517.3166298524,0.16219155,0.5524824
2023-01-30,997943.0162297995,909013.4486001258,0.149135,0.37402833
2023-01-31,997943.0162297995,922325.7543317997,0.19816965,0.5710195
2023-02-01,997943.0162297995,932091.2196254852,0.17923762,0.38195756
2023-02-02,997943.0162297995,945604.4958347395,0.14840962,0.39232236
2023-02-03,997943.0162297995,935591.7721422048,0.094877705,0.42071488
2023-02-06,997943.0162297995,929893.5560220549,0.114244945,0.251719
