agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.11957879460596493,0.19732570843061983,16,1.0,cpu,1239489.3343983137,wf_2022_2023,0.2123579128796136,True,37,0.5724162774227188,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.018841091667180263,0.05010438413361169
ppo_standalone,-0.007926106163831555,0.016561841505540416,16,0.9810007734468051,cpu,984987.9054802998,wf_2022_2023,0.01942342374518502,True,42,-0.48047848067075827,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.022964509394572025
ppo_with_uncertainty_guard,0.12998372764400698,0.2473386274533401,16,1.0,cpu,1261476.8377781264,wf_2022_2023,0.2615766757687703,True,42,0.4940722568578161,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.024110162834218404,0.05010438413361169
ppo_standalone,-0.008070942370988864,0.014317751222998984,16,0.9811745901878466,cpu,984714.5860955921,wf_2022_2023,0.018825409812153415,True,53,-0.5659826580484535,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.018789144050104383
ppo_with_uncertainty_guard,0.13155147057565197,0.24716576120844128,16,1.0,cpu,1264805.6415961573,wf_2022_2023,0.2607629886485435,True,53,0.5000271634485214,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.023844763371193168,0.05010438413361169
ppo_standalone,-0.012565263579494244,0.01776622686002627,16,0.972741680332513,cpu,976251.2510063839,wf_2022_2023,0.029045787786774913,True,67,-0.711730251312397,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.03966597077244259
ppo_with_uncertainty_guard,0.12919086775271496,0.24867632679410107,16,1.0,cpu,1259794.9336353021,wf_2022_2023,0.2640529335546671,True,67,0.4885919540833348,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.02407933343444366,0.05010438413361169
ppo_standalone,-0.009778113085410165,0.019527497794309734,16,0.9776696519749128,cpu,981495.705363238,wf_2022_2023,0.02855224156662528,True,89,-0.5031956983726105,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.027139874739039668
ppo_with_uncertainty_guard,0.12711178589109587,0.1674205626954964,16,1.0,cpu,1255389.600652072,wf_2022_2023,0.1613744012579884,True,89,0.7147169000936583,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.016840599137137424,0.05010438413361169
ppo_standalone,0.0069292750280824785,0.010683274794687407,16,0.9910600459640175,cpu,1013212.2186404843,wf_2024_2025,0.012173948098232468,True,7,0.646363166457471,2024-01-01/2025-12-31,XLK,50000,2009-01-01/2023-12-31,0.0,0.018789144050104383
